"Story","Title","Result","Date","Stability","Duration (s)"
"Consulta un servicio","Consulta un servicio","SUCCESS","2024-12-13T02:35:15.2915204-05:00[America/Lima]","0.0","2.14"
"Crear usuario PetStore","Crear usuario","SUCCESS","2024-12-13T02:35:17.443419-05:00[America/Lima]","0.0","1.8"
